page_number,is_bold,is_italic,is_underline,is_all_caps,word_count,norm_font_size,font,font_size,x0,y0,x1,y1,space_above,space_below,space_left,space_right,text
1,0,0,0,0,38,7,/NTSHOG+NimbusSanL-Regu,10.91,117.91,516.35,505.18,608.55,516.35,233.34,117.91,90.1,"This may be the author’s version of a work that was submitted/accepted for publication in the following source: Palaniswamy, Basker, Camtepe, Seyit, Foo, Ernest, Simpson, Leonie, Rezazadeh Baee, Mir Ali, & Pieprzyk, Josef (2020) Continuous authentication for VANET."
1,0,0,0,0,7,7,/QKACWV+NimbusSanL-ReguItal,10.91,117.91,502.8,406.67,513.71,502.8,328.18,117.91,188.61,"Vehicular Communications, 25 , Article number: 100255."
1,0,0,0,0,6,7,/NTSHOG+NimbusSanL-Regu,10.91,117.91,475.7,467.0,486.61,475.7,355.28,117.91,128.28,This ﬁle was downloaded from: https://eprints.qut.edu.au/207932/
1,1,0,0,0,4,7,/WEEBUC+NimbusSanL-Bold,10.91,117.91,435.05,227.0,445.96,435.05,395.93,117.91,368.28,© 2020 Elsevier Inc.
1,0,0,0,0,100,11,/NTSHOG+NimbusSanL-Regu,8.97,117.91,328.6,539.33,418.87,328.6,423.02,117.91,55.95,"This work is covered by copyright. Unless the document is being made available under a Creative Commons Licence, you must assume that re-use is limited to personal use and that permission from the copyright owner must be obtained for all other uses. If the document is available under a Creative Commons License (or other speciﬁed license) then refer to the Licence for details of permitted re-use. It is a condition of access that users recognise and abide by the legal requirements associated with these rights. If you believe that this work infringes copyright please provide details by email to qut.copyright@qut.edu.au"
1,1,0,0,0,6,7,/WEEBUC+NimbusSanL-Bold,10.91,117.91,299.56,485.81,310.47,299.56,531.42,117.91,109.47,License : Creative Commons: Attribution-Noncommercial-No Derivative
1,0,0,0,0,13,7,/WEEBUC+NimbusSanL-Bold,10.91,117.91,245.37,505.79,256.28,245.37,585.61,117.91,89.49,Notice: Please note that this document may not be the Version of Record
1,0,0,0,0,46,7,/QKACWV+NimbusSanL-ReguItal,10.91,117.91,164.07,537.91,242.73,164.07,599.16,117.91,57.37,"(i.e. published version) of the work. Author manuscript versions (as Submitted for peer review or as Accepted for publication after peer review) can be identiﬁed by an absence of publisher branding and/or typeset appearance. If there is any doubt, please refer to the published source. https://doi.org/10.1016/j.vehcom.2020.100255"
2,0,0,0,0,4,2,/TimesNewRomanPSMT,15.96,181.22,666.7,468.5,682.66,666.7,159.26,181.22,126.82,Continuous Authentication for VANET
2,0,0,0,0,14,5,/TimesNewRomanPSMT,12.0,79.1,622.06,544.99,638.62,622.06,203.3,79.1,50.33,"a b, a aBasker Palaniswamy, Seyit Camtepe, Ernest Foo, Leonie Simpson, Mir Ali Rezazadeh"
2,0,0,0,0,4,12,/TimesNewRomanPSMT,8.04,243.77,594.94,367.25,611.5,594.94,230.42,243.77,228.07,"a bBaee, Josef Pieprzyk"
2,0,0,0,0,7,12,/TimesNewRomanPSMT,8.04,135.38,567.7,522.98,584.26,567.7,257.66,135.38,72.34,"aQueensland University of Technology (QUT), Brisbane, Australia."
2,0,0,0,0,4,12,/TimesNewRomanPSMT,8.04,211.61,540.43,419.69,556.99,540.43,284.93,211.61,175.63,"bCSIRO Data61, Sydney, Australia."
2,0,0,0,0,77,5,/TimesNewRomanPSMT,12.0,72.02,337.85,666.02,513.19,337.85,328.73,72.02,-70.7,"Continuous authentication protocol suite consisting of a user authentication protocol and in-transit vehicle to infrastructure (P_1) and vehicle to vehicle (P_2) key exchange protocols provides handoff capability  with key exchange protocols whic h ensure continuity of authentication and network connectivity as a vehicle moves from one roadside unit (RSU) coverage to another. Evaluation of the proposed suite includes (i) formal and informal security proofs, (ii) security property verifications using Tamarin tool, and (iii) simulation study using Omnet++."
3,0,0,0,0,4,1,/WRCOFY+CMR17,17.22,161.58,701.61,462.85,718.83,701.61,123.06,161.58,132.43,Continuous Authentication for VANET
